,year,month,day,hour,u10,v10,rain,spd,direction
0,2023,1,13,13,-5.594,-3.733,0.0,6.725,56.284
1,2023,1,13,14,-4.315,-3.645,0.0,5.648,49.811
2,2023,1,13,15,-3.731,-3.052,0.0,4.82,50.716
3,2023,1,13,16,-2.791,-1.5,0.0,3.169,61.745
4,2023,1,13,17,-2.095,-0.704,0.0,2.21,71.426
5,2023,1,13,18,-1.336,-1.027,0.0,1.685,52.45
6,2023,1,13,19,0.191,-1.063,0.0,1.08,349.814
7,2023,1,13,20,0.899,-0.79,0.0,1.197,311.308
8,2023,1,13,21,0.815,-0.63,0.0,1.03,307.704
9,2023,1,13,22,0.826,-0.586,0.0,1.013,305.354
10,2023,1,13,23,0.919,-0.354,0.0,0.985,291.067
11,2023,1,14,0,1.135,-0.094,0.0,1.139,274.734
12,2023,1,14,1,1.334,0.204,0.0,1.35,261.305
13,2023,1,14,2,1.55,0.45,0.0,1.614,253.811
14,2023,1,14,3,1.569,0.038,0.0,1.569,268.613
15,2023,1,14,4,1.422,-0.265,0.0,1.446,280.556
16,2023,1,14,5,0.738,-0.057,0.0,0.74,274.417
17,2023,1,14,6,-0.571,0.542,0.0,0.787,133.507
18,2023,1,14,7,-1.504,-3.032,0.0,3.385,26.383
19,2023,1,14,8,-3.072,-3.274,0.0,4.49,43.177
20,2023,1,14,9,-4.951,-3.275,0.0,5.936,56.516
21,2023,1,14,10,-6.24,-3.034,0.0,6.938,64.07
22,2023,1,14,11,-7.725,-2.882,0.0,8.245,69.541
23,2023,1,14,12,-6.751,-3.566,0.0,7.635,62.156
