year,month,day,hour,wind_speed,direction,rain
2023,6,8,15,1.85,233.646,0.0
2023,6,8,16,1.682,227.69,0.0
2023,6,8,17,1.077,221.457,0.0
2023,6,8,18,1.255,221.15,0.0
2023,6,8,19,1.073,249.678,0.0
2023,6,8,20,1.363,254.834,0.0
2023,6,8,21,1.631,250.908,0.0
2023,6,8,22,1.462,249.345,0.0
2023,6,8,23,1.437,235.923,0.0
2023,6,9,0,1.251,223.111,0.0
2023,6,9,1,1.082,230.534,0.0
2023,6,9,2,1.15,218.115,0.0
2023,6,9,3,1.286,219.506,0.0
2023,6,9,4,1.458,215.58,0.0
2023,6,9,5,1.44,224.93,0.0
2023,6,9,6,1.222,220.907,0.0
2023,6,9,7,0.934,220.984,0.0
2023,6,9,8,1.017,223.041,0.0
2023,6,9,9,0.995,256.592,0.0
2023,6,9,10,0.779,320.642,0.0
2023,6,9,11,1.473,19.881,0.0
2023,6,9,12,1.489,31.217,0.0
2023,6,9,13,1.602,66.222,0.0
2023,6,9,14,1.646,83.227,0.0
2023,6,9,15,1.495,95.469,0.0
2023,6,9,16,1.874,98.335,0.0
2023,6,9,17,1.006,102.297,0.0
2023,6,9,18,0.088,330.054,0.0
2023,6,9,19,0.637,251.233,0.0
2023,6,9,20,0.849,256.318,0.0
2023,6,9,21,1.166,261.413,0.0
2023,6,9,22,0.963,259.225,0.0
2023,6,9,23,1.51,244.425,0.0
2023,6,10,0,1.389,251.456,0.0
2023,6,10,1,1.738,241.482,0.0
2023,6,10,2,2.095,233.23,0.0
2023,6,10,3,1.657,257.627,0.0
2023,6,10,4,1.54,228.642,0.0
2023,6,10,5,1.181,245.804,0.0
2023,6,10,6,1.472,258.404,0.0
2023,6,10,7,1.143,230.414,0.0
2023,6,10,8,1.016,248.74,0.0
2023,6,10,9,1.858,228.181,0.0
2023,6,10,10,2.116,236.504,0.0
2023,6,10,11,2.093,220.413,0.0
2023,6,10,12,2.715,230.379,0.0
2023,6,10,13,2.689,231.127,0.0
2023,6,10,14,2.403,232.212,0.0
2023,6,10,15,2.462,228.911,0.0
2023,6,10,16,2.128,233.085,0.0
2023,6,10,17,1.631,232.556,0.0
2023,6,10,18,0.993,250.44,0.0
2023,6,10,19,1.046,261.663,0.0
2023,6,10,20,0.986,241.962,0.0
