year,month,day,hour,point,ushaka,south,north,pirates,country club
2023,9,15,16,-9,-9,-9,-9,-9,-9
2023,9,15,17,-9,-9,-9,-9,-9,-9
2023,9,15,18,-9,-9,-9,-9,-9,-9
2023,9,15,19,-9,-9,-9,-9,-9,-9
2023,9,15,20,-9,-9,-9,-9,-9,-9
2023,9,15,21,-9,-9,-9,-9,-9,-9
2023,9,15,22,-9,-9,-9,-9,-9,-9
2023,9,15,23,-9,-9,-9,-9,-9,-9
2023,9,16,0,-9,-9,-9,-9,-9,-9
2023,9,16,1,-9,-9,-9,-9,-9,-9
2023,9,16,2,-9,-9,-9,-9,-9,-9
2023,9,16,3,-9,-9,-9,-9,-9,-9
2023,9,16,4,-9,-9,-9,-9,-9,-9
2023,9,16,5,-9,-9,-9,-9,-9,-9
2023,9,16,6,-9,-9,-9,-9,-9,-9
2023,9,16,7,-9,-9,-9,-9,-9,-9
2023,9,16,8,-9,-9,-9,-9,-9,-9
2023,9,16,9,-9,-9,-9,-9,-9,-9
2023,9,16,10,-9,-9,-9,-9,-9,-9
2023,9,16,11,-9,-9,-9,-9,-9,-9
2023,9,16,12,-9,-9,-9,-9,-9,-9
2023,9,16,13,-9,-9,-9,-9,-9,-9
2023,9,16,14,-9,-9,-9,-9,-9,-9
2023,9,16,15,-9,-9,-9,-9,-9,-9
2023,9,16,16,-9,-9,-9,-9,-9,-9
2023,9,16,17,-9,-9,-9,-9,-9,-9
2023,9,16,18,-9,-9,-9,-9,-9,-9
2023,9,16,19,-9,-9,-9,-9,-9,-9
2023,9,16,20,-9,-9,-9,-9,-9,-9
2023,9,16,21,-9,-9,-9,-9,-9,-9
2023,9,16,22,-9,-9,-9,-9,-9,-9
2023,9,16,23,-9,-9,-9,-9,-9,-9
2023,9,17,0,-9,-9,-9,-9,-9,-9
2023,9,17,1,-9,-9,-9,-9,-9,-9
2023,9,17,2,-9,-9,-9,-9,-9,-9
2023,9,17,3,-9,-9,-9,-9,-9,-9
2023,9,17,4,-9,-9,-9,-9,-9,-9
2023,9,17,5,-9,-9,-9,-9,-9,-9
2023,9,17,6,-9,-9,-9,-9,-9,-9
2023,9,17,7,-9,-9,-9,-9,-9,-9
2023,9,17,8,-9,-9,-9,-9,-9,-9
2023,9,17,9,-9,-9,-9,-9,-9,-9
2023,9,17,10,-9,-9,-9,-9,-9,-9
2023,9,17,11,-9,-9,-9,-9,-9,-9
2023,9,17,12,-9,-9,-9,-9,-9,-9
2023,9,17,13,-9,-9,-9,-9,-9,-9
2023,9,17,14,-9,-9,-9,-9,-9,-9
2023,9,17,15,-9,-9,-9,-9,-9,-9
2023,9,17,16,-9,-9,-9,-9,-9,-9
2023,9,17,17,-9,-9,-9,-9,-9,-9
2023,9,17,18,-9,-9,-9,-9,-9,-9
2023,9,17,19,-9,-9,-9,-9,-9,-9
2023,9,17,20,-9,-9,-9,-9,-9,-9
2023,9,17,21,-9,-9,-9,-9,-9,-9
2023,9,17,22,-9,-9,-9,-9,-9,-9
2023,9,17,23,-9,-9,-9,-9,-9,-9
2023,9,18,0,-9,-9,-9,-9,-9,-9
2023,9,18,1,-9,-9,-9,-9,-9,-9
2023,9,18,2,-9,-9,-9,-9,-9,-9
2023,9,18,3,-9,-9,-9,-9,-9,-9
2023,9,18,4,-9,-9,-9,-9,-9,-9
2023,9,18,5,-9,-9,-9,-9,-9,-9
2023,9,18,6,-9,-9,-9,-9,-9,-9
2023,9,18,7,-9,-9,-9,-9,-9,-9
2023,9,18,8,-9,-9,-9,-9,-9,-9
2023,9,18,9,-9,-9,-9,-9,-9,-9
2023,9,18,10,-9,-9,-9,-9,-9,-9
2023,9,18,11,-9,-9,-9,-9,-9,-9
2023,9,18,12,-9,-9,-9,-9,-9,-9
2023,9,18,13,-9,-9,-9,-9,-9,-9
2023,9,18,14,-9,-9,-9,-9,-9,-9
2023,9,18,15,-9,-9,-9,-9,-9,-9
2023,9,18,16,-9,-9,-9,-9,-9,-9
2023,9,18,17,-9,-9,-9,-9,-9,-9
2023,9,18,18,-9,-9,-9,-9,-9,-9
2023,9,18,19,-9,-9,-9,-9,-9,-9
2023,9,18,20,-9,-9,-9,-9,-9,-9
2023,9,18,21,-9,-9,-9,-9,-9,-9
2023,9,18,22,-9,-9,-9,-9,-9,-9
2023,9,18,23,-9,-9,-9,-9,-9,-9
2023,9,19,0,-9,-9,-9,-9,-9,-9
2023,9,19,1,-9,-9,-9,-9,-9,-9
2023,9,19,2,-9,-9,-9,-9,-9,-9
2023,9,19,3,-9,-9,-9,-9,-9,-9
2023,9,19,4,-9,-9,-9,-9,-9,-9
2023,9,19,5,-9,-9,-9,-9,-9,-9
2023,9,19,6,-9,-9,-9,-9,-9,-9
2023,9,19,7,-9,-9,-9,-9,-9,-9
2023,9,19,8,-9,-9,-9,-9,-9,-9
2023,9,19,9,-9,-9,-9,-9,-9,-9
2023,9,19,10,-9,-9,-9,-9,-9,-9
2023,9,19,11,-9,-9,-9,-9,-9,-9
2023,9,19,12,-9,-9,-9,-9,-9,-9
2023,9,19,13,-9,-9,-9,-9,-9,-9
2023,9,19,14,-9,-9,-9,-9,-9,-9
2023,9,19,15,-9,-9,-9,-9,-9,-9
2023,9,19,16,-9,-9,-9,-9,-9,-9
2023,9,19,17,-9,-9,-9,-9,-9,-9
2023,9,19,18,-9,-9,-9,-9,-9,-9
2023,9,19,19,-9,-9,-9,-9,-9,-9
2023,9,19,20,-9,-9,-9,-9,-9,-9
2023,9,19,21,-9,-9,-9,-9,-9,-9
2023,9,19,22,-9,-9,-9,-9,-9,-9
2023,9,19,23,-9,-9,-9,-9,-9,-9
2023,9,20,0,-9,-9,-9,-9,-9,-9
2023,9,20,1,-9,-9,-9,-9,-9,-9
2023,9,20,2,-9,-9,-9,-9,-9,-9
2023,9,20,3,-9,-9,-9,-9,-9,-9
2023,9,20,4,-9,-9,-9,-9,-9,-9
2023,9,20,5,-9,-9,-9,-9,-9,-9
2023,9,20,6,-9,-9,-9,-9,-9,-9
2023,9,20,7,-9,-9,-9,-9,-9,-9
2023,9,20,8,-9,-9,-9,-9,-9,-9
2023,9,20,9,-9,-9,-9,-9,-9,-9
2023,9,20,10,-9,-9,-9,-9,-9,-9
2023,9,20,11,-9,-9,-9,-9,-9,-9
2023,9,20,12,-9,-9,-9,-9,-9,-9
2023,9,20,13,-9,-9,-9,-9,-9,-9
2023,9,20,14,-9,-9,-9,-9,-9,-9
2023,9,20,15,-9,-9,-9,-9,-9,-9
2023,9,20,16,-9,-9,-9,-9,-9,-9
2023,9,20,17,-9,-9,-9,-9,-9,-9
2023,9,20,18,-9,-9,-9,-9,-9,-9
2023,9,20,19,-9,-9,-9,-9,-9,-9
2023,9,20,20,-9,-9,-9,-9,-9,-9
2023,9,20,21,-9,-9,-9,-9,-9,-9
2023,9,20,22,-9,-9,-9,-9,-9,-9
2023,9,20,23,-9,-9,-9,-9,-9,-9
2023,9,21,0,-9,-9,-9,-9,-9,-9
2023,9,21,1,-9,-9,-9,-9,-9,-9
2023,9,21,2,-9,-9,-9,-9,-9,-9
2023,9,21,3,-9,-9,-9,-9,-9,-9
2023,9,21,4,-9,-9,-9,-9,-9,-9
2023,9,21,5,-9,-9,-9,-9,-9,-9
2023,9,21,6,-9,-9,-9,-9,-9,-9
2023,9,21,7,-9,-9,-9,-9,-9,-9
2023,9,21,8,-9,-9,-9,-9,-9,-9
2023,9,21,9,-9,-9,-9,-9,-9,-9
2023,9,21,10,-9,-9,-9,-9,-9,-9
2023,9,21,11,-9,-9,-9,-9,-9,-9
2023,9,21,12,-9,-9,-9,-9,-9,-9
2023,9,21,13,-9,-9,-9,-9,-9,-9
2023,9,21,14,-9,-9,-9,-9,-9,-9
2023,9,21,15,-9,-9,-9,-9,-9,-9
2023,9,21,16,-9,-9,-9,-9,-9,-9
2023,9,21,17,-9,-9,-9,-9,-9,-9
2023,9,21,18,-9,-9,-9,-9,-9,-9
2023,9,21,19,-9,-9,-9,-9,-9,-9
2023,9,21,20,-9,-9,-9,-9,-9,-9
2023,9,21,21,-9,-9,-9,-9,-9,-9
2023,9,21,22,-9,-9,-9,-9,-9,-9
2023,9,21,23,-9,-9,-9,-9,-9,-9
2023,9,22,0,-9,-9,-9,-9,-9,-9
2023,9,22,1,-9,-9,-9,-9,-9,-9
2023,9,22,2,-9,-9,-9,-9,-9,-9
2023,9,22,3,-9,-9,-9,-9,-9,-9
2023,9,22,4,-9,-9,-9,-9,-9,-9
2023,9,22,5,-9,-9,-9,-9,-9,-9
2023,9,22,6,-9,-9,-9,-9,-9,-9
2023,9,22,7,-9,-9,-9,-9,-9,-9
2023,9,22,8,-9,-9,-9,-9,-9,-9
2023,9,22,9,-9,-9,-9,-9,-9,-9
2023,9,22,10,-9,-9,-9,-9,-9,-9
2023,9,22,11,-9,-9,-9,-9,-9,-9
2023,9,22,12,-9,-9,-9,-9,-9,-9
2023,9,22,13,-9,-9,-9,-9,-9,-9
2023,9,22,14,-9,-9,-9,-9,-9,-9
2023,9,22,15,-9,-9,-9,-9,-9,-9
2023,9,22,16,-9,-9,-9,-9,-9,-9
2023,9,22,17,-9,-9,-9,-9,-9,-9
2023,9,22,18,-9,-9,-9,-9,-9,-9
2023,9,22,19,-9,-9,-9,-9,-9,-9
2023,9,22,20,-9,-9,-9,-9,-9,-9
2023,9,22,21,-9,-9,-9,-9,-9,-9
2023,9,22,22,-9,-9,-9,-9,-9,-9
2023,9,22,23,-9,-9,-9,-9,-9,-9
2023,9,23,0,-9,-9,-9,-9,-9,-9
2023,9,23,1,-9,-9,-9,-9,-9,-9
2023,9,23,2,-9,-9,-9,-9,-9,-9
2023,9,23,3,-9,-9,-9,-9,-9,-9
2023,9,23,4,-9,-9,-9,-9,-9,-9
2023,9,23,5,-9,-9,-9,-9,-9,-9
2023,9,23,6,-9,-9,-9,-9,-9,-9
2023,9,23,7,-9,-9,-9,-9,-9,-9
2023,9,23,8,-9,-9,-9,-9,-9,-9
2023,9,23,9,-9,-9,-9,-9,-9,-9
2023,9,23,10,-9,-9,-9,-9,-9,-9
2023,9,23,11,-9,-9,-9,-9,-9,-9
2023,9,23,12,-9,-9,-9,-9,-9,-9
2023,9,23,13,-9,-9,-9,-9,-9,-9
2023,9,23,14,-9,-9,-9,-9,-9,-9
2023,9,23,15,-9,-9,-9,-9,-9,-9
