id,X,Y,Length,bear
1,311977.131,6694073,200,291.708
2,311791.316,6694146.977,200,291.708
3,311605.5,6694220.953,200,291.708
4,311441.128,6694327.475,199,314.215
5,311299.59,6694468.217,200,315.46
6,311180.703,6694626.701,200,330.781
7,311083.074,6694801.254,200,330.781
8,310985.445,6694975.806,200,330.781
9,310893.14,6695152.785,199,334.134
10,310815.826,6695336.592,200,340.23
11,310748.178,6695524.805,200,340.23
12,310680.53,6695713.017,200,340.23
13,310612.883,6695901.229,200,340.23
14,310545.235,6696089.441,200,340.23
15,310477.588,6696277.653,200,340.23
16,310409.94,6696465.865,200,340.23
17,310359.81,6696658.395,200,350.593
18,310329.719,6696855.864,200,352.077
19,310302.15,6697053.955,200,352.077
20,310277.421,6697252.195,200,353.704
21,310269.792,6697451.335,200,1.9
22,310276.421,6697651.225,200,1.9
23,310283.051,6697851.115,200,1.9
24,310289.681,6698051.005,200,1.9
25,310299.659,6698250.704,200,3.822
26,310314.432,6698450.128,200,4.651
27,310330.649,6698649.469,200,4.651
28,310346.866,6698848.811,200,4.651
29,310363.083,6699048.152,200,4.651
30,310379.3,6699247.493,200,4.651
31,310407.32,6699445.148,200,11.486
32,310447.364,6699641.085,200,11.615
33,310487.63,6699836.989,200,11.615
34,310527.896,6700032.894,200,11.615
35,310569.356,6700228.532,200,12.316
36,310614.21,6700423.41,200,13.607
